"count_id","line","species_id","site_code","liana","count"
83128,4,9667,"BELINGA","",3
83129,4,9681,"BELINGA","",1
83130,3,1194,"BEZA1","",2
83131,3,1199,"BEZA1","",1
83132,4,1199,"BEZA1","",3
83133,8,1199,"BEZA1","",2
83134,9,1199,"BEZA1","",1
83135,2,1467,"BEZA1","",1
83136,5,1467,"BEZA1","",1
83137,2,1554,"BEZA1","",3
83138,4,1554,"BEZA1","",2
83139,5,1554,"BEZA1","",1
83140,6,1554,"BEZA1","",3
83141,7,1816,"BEZA1","",3
83142,2,2056,"BEZA1","",1
83143,4,2056,"BEZA1","",2
83144,10,2056,"BEZA1","",4
83145,2,2061,"BEZA1","",1
83146,7,2061,"BEZA1","",2
83147,7,2723,"BEZA1","",3
83148,1,3606,"BEZA1","",2
83149,2,3606,"BEZA1","",12
83150,4,3606,"BEZA1","",1
83151,5,3606,"BEZA1","",10
83152,6,3606,"BEZA1","",7
83153,7,3606,"BEZA1","",2
83154,8,3606,"BEZA1","",2
83155,5,3805,"BEZA1","",13
83156,7,3805,"BEZA1","",3
83157,8,3805,"BEZA1","",14
83158,4,3849,"BEZA1","",1
83159,5,3849,"BEZA1","",1
83160,8,3849,"BEZA1","",3
83161,3,3871,"BEZA1","",7
83162,6,4076,"BEZA1","",7
83163,8,4076,"BEZA1","",1
83164,1,4624,"BEZA1","",9
83165,2,4624,"BEZA1","",2
83166,4,4624,"BEZA1","",9
83167,8,4624,"BEZA1","",1
83168,9,4624,"BEZA1","",4
83169,10,4624,"BEZA1","",11
83170,1,5046,"BEZA1","",2
83171,3,5051,"BEZA1","",1
83172,4,6134,"BEZA1","",1
