"Latin","gx","gy"
"Ailanthus altissima",333.9,42.3
"Ailanthus altissima",348.5,27.8
"Ailanthus altissima",350.4,28.7
"Ailanthus altissima",347.9,28.2
"Ailanthus altissima",344.6,39.4
"Ailanthus altissima",345.3,39.5
"Ailanthus altissima",351.9,39
"Ailanthus altissima",346.2,40.8
"Ailanthus altissima",348,45.5
"Ailanthus altissima",346.1,44.7
"Ailanthus altissima",342.4,42.7
"Ailanthus altissima",340.5,41.8
"Amelanchier arborea",12.4,64.5
"Amelanchier arborea",13.3,64.5
"Amelanchier arborea",13.5,64.6
"Amelanchier arborea",15.3,314.1
"Amelanchier arborea",9,329.8
"Amelanchier arborea",6.9,369.9
"Amelanchier arborea",0.3,375.5
"Amelanchier arborea",22.9,32.6
"Amelanchier arborea",25.3,312
"Amelanchier arborea",31.2,316.2
"Amelanchier arborea",31.8,316.2
"Amelanchier arborea",39.2,317.2
"Amelanchier arborea",35.8,365.3
"Amelanchier arborea",31.3,361.7
"Amelanchier arborea",60,58.7
"Amelanchier arborea",44.5,64.8
"Amelanchier arborea",45.3,72.2
"Amelanchier arborea",45.3,74.1
"Amelanchier arborea",45,74.9
"Amelanchier arborea",55.2,62.5
"Amelanchier arborea",59,63.4
"Amelanchier arborea",57.9,64.2
"Amelanchier arborea",50.9,74
"Amelanchier arborea",49.4,336.2
"Amelanchier arborea",49.8,365.2
"Amelanchier arborea",50.9,422.9
"Amelanchier arborea",43.9,515.6
"Amelanchier arborea",55.5,525.1
"Amelanchier arborea",80,53.4
"Amelanchier arborea",78,57
"Amelanchier arborea",80,59.8
"Amelanchier arborea",76.6,55.7
"Amelanchier arborea",72.8,58.8
"Amelanchier arborea",71.8,55.1
"Amelanchier arborea",64.1,55.1
"Amelanchier arborea",75.4,57.8
"Amelanchier arborea",64.4,61.5
"Amelanchier arborea",60.4,63.5
"Amelanchier arborea",63.5,63.8
"Amelanchier arborea",64.9,69.5
"Amelanchier arborea",67.2,72.4
"Amelanchier arborea",61.2,76.3
"Amelanchier arborea",64.8,79.8
"Amelanchier arborea",68.9,61.8
"Amelanchier arborea",68.9,62.5
"Amelanchier arborea",74.3,60.2
"Amelanchier arborea",74.7,61.1
"Amelanchier arborea",70.3,66.9
"Amelanchier arborea",72.7,68
"Amelanchier arborea",78.7,74.7
"Amelanchier arborea",77.7,72.7
"Amelanchier arborea",74,71.4
"Amelanchier arborea",76,75.8
"Amelanchier arborea",69.9,79
"Amelanchier arborea",69.7,83.7
"Amelanchier arborea",61,83
"Amelanchier arborea",68,97.1
"Amelanchier arborea",70.2,81.8
"Amelanchier arborea",73.8,82.1
"Amelanchier arborea",78.6,98.2
"Amelanchier arborea",65.4,135.4
"Amelanchier arborea",76,126
"Amelanchier arborea",64.8,593.4
"Amelanchier arborea",86.5,38
"Amelanchier arborea",92.9,32
"Amelanchier arborea",85.3,47
"Amelanchier arborea",88,53.9
"Amelanchier arborea",94.1,42
"Amelanchier arborea",92.9,53.5
"Amelanchier arborea",81.7,69.5
"Amelanchier arborea",86,70.6
"Amelanchier arborea",86.7,70
"Amelanchier arborea",87.6,70.2
"Amelanchier arborea",85,72.9
"Amelanchier arborea",93.4,66.8
"Amelanchier arborea",90.3,63.9
"Amelanchier arborea",89.9,63.8
"Amelanchier arborea",98.3,68.9
"Amelanchier arborea",83.2,72
"Amelanchier arborea",81.3,84.8
"Amelanchier arborea",83.8,87.2
"Amelanchier arborea",83.2,89.4
"Amelanchier arborea",94.5,112.9
"Amelanchier arborea",93.5,141.4
"Amelanchier arborea",99,154
"Amelanchier arborea",98.9,163.9
"Amelanchier arborea",97.7,369.2
"Amelanchier arborea",86.1,388.2
"Amelanchier arborea",80.9,383.7
"Amelanchier arborea",80.9,383.7
"Amelanchier arborea",94.4,383.2
"Amelanchier arborea",97.5,390.7
"Amelanchier arborea",83.4,416.6
"Amelanchier arborea",112.1,25.5
"Amelanchier arborea",109.6,38.3
"Amelanchier arborea",111.4,45.2
"Amelanchier arborea",106.9,48.3
"Amelanchier arborea",102.9,45.8
"Amelanchier arborea",101.5,60.2
"Amelanchier arborea",102.9,65.9
"Amelanchier arborea",117,107.7
"Amelanchier arborea",114.6,112.1
"Amelanchier arborea",101.7,114
"Amelanchier arborea",109.8,130.6
"Amelanchier arborea",102.2,134.9
"Amelanchier arborea",114.1,149.3
"Amelanchier arborea",112.2,152.7
"Amelanchier arborea",102.1,153
"Amelanchier arborea",102.1,154.2
"Amelanchier arborea",101,156.4
"Amelanchier arborea",114.6,179.6
"Amelanchier arborea",106.1,179.7
"Amelanchier arborea",103.9,201.7
"Amelanchier arborea",117.6,326.9
"Amelanchier arborea",119.8,330.4
"Amelanchier arborea",117.4,329.2
"Amelanchier arborea",104.4,342.7
"Amelanchier arborea",103.6,356.4
"Amelanchier arborea",104.5,366
"Amelanchier arborea",115.3,366.5
"Amelanchier arborea",102.7,374.4
"Amelanchier arborea",100.1,423.2
"Amelanchier arborea",114.1,423.9
"Amelanchier arborea",104.3,433.1
"Amelanchier arborea",113.3,457.7
"Amelanchier arborea",103,450.7
"Amelanchier arborea",109.4,545.7
"Amelanchier arborea",125.2,26.7
"Amelanchier arborea",122.2,28.4
"Amelanchier arborea",121.1,30.7
"Amelanchier arborea",135.2,33.5
"Amelanchier arborea",127.6,29.6
"Amelanchier arborea",120,46.1
"Amelanchier arborea",123.6,56.4
"Amelanchier arborea",127.8,54.9
"Amelanchier arborea",136.5,46.1
"Amelanchier arborea",131.4,76.1
"Amelanchier arborea",133.6,223.8
"Amelanchier arborea",133.9,226.2
"Amelanchier arborea",125.6,249.8
"Amelanchier arborea",137.2,251.2
"Amelanchier arborea",135.5,331.2
"Amelanchier arborea",133.7,337.7
"Amelanchier arborea",130.3,335.6
"Amelanchier arborea",130.6,335.1
"Amelanchier arborea",124.8,333.2
"Amelanchier arborea",123.4,347.8
"Amelanchier arborea",134.2,353.1
"Amelanchier arborea",138.2,355
"Amelanchier arborea",136.6,359.4
"Amelanchier arborea",128.3,433.8
"Amelanchier arborea",144.6,37.1
"Amelanchier arborea",140.7,49.7
"Amelanchier arborea",142.8,47.6
"Amelanchier arborea",159.5,46.3
"Amelanchier arborea",155.9,48.3
