"site_code","count_id","line","species_id","liana","count","record_id","site_id","site_name","country","state_province","continent","lat","lon","min_elev","max_elev","precip"
"ALLPAHUA",104979,10,4929,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104980,9,4981,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104981,10,4985,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104982,4,4999,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104983,6,4999,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104984,9,4999,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104985,1,5018,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104986,2,5098,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104987,6,5134,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104988,1,5165,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104989,6,5233,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104990,2,5236,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104991,3,5277,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104992,3,5288,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104993,6,5289,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104994,2,5297,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104995,9,5297,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104996,6,5338,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104997,4,5475,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104998,5,5482,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104999,1,5483,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105000,6,5485,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105001,1,5499,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105002,3,5499,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105003,4,5499,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
