"Latin","gx","gy"
"Acalypha diversifolia",682.2,300.5
"Acalypha diversifolia",680.49,335.16
"Acalypha diversifolia",683.58,337.94
"Acalypha diversifolia",682.94,338.85
"Acalypha diversifolia",682.82,339.08
"Acalypha diversifolia",683.93,339.39
"Acalypha diversifolia",684.44,338.74
"Acalypha diversifolia",680.1,344.9
"Acalypha diversifolia",698.71,379.86
"Acalypha diversifolia",702.91,79.77
"Acalypha diversifolia",704.2,91.1
"Acalypha diversifolia",704.6,90.9
"Acalypha diversifolia",705.9,89.7
"Acalypha diversifolia",706.09,89.5
"Acalypha diversifolia",705.43,89.5
"Acalypha diversifolia",711.3,107.2
"Acalypha diversifolia",704.5,109.3
"Acalypha diversifolia",702.1,117.9
"Acalypha diversifolia",706.9,118
"Acalypha diversifolia",706,114.9
"Acalypha diversifolia",705.5,105.2
"Acalypha diversifolia",709.2,106
"Acalypha diversifolia",710.3,116
"Acalypha diversifolia",710.7,117
"Acalypha diversifolia",704.95,113.29
"Acalypha diversifolia",705.81,113.16
"Acalypha diversifolia",710.3,120.4
"Acalypha diversifolia",714.76,127.78
"Acalypha diversifolia",705.7,151.41
"Acalypha diversifolia",711.76,150.2
"Acalypha diversifolia",711.7,264.7
"Acalypha diversifolia",701.06,268.2
"Acalypha diversifolia",708.79,263.97
"Acalypha diversifolia",709.02,309.32
"Acalypha diversifolia",719.8,308.75
"Acalypha diversifolia",708.88,387.92
"Acalypha diversifolia",712.1,412.9
"Acalypha diversifolia",709.5,419.7
"Acalypha diversifolia",707.17,411.94
"Acalypha diversifolia",714.2,426.8
"Acalypha diversifolia",713.9,432.6
"Acalypha diversifolia",717.9,445
"Acalypha diversifolia",731.91,50.22
"Acalypha diversifolia",727,111.5
"Acalypha diversifolia",723.79,138.34
"Acalypha diversifolia",724.6,153.8
"Acalypha diversifolia",726.1,153
"Acalypha diversifolia",725.42,155.46
"Acalypha diversifolia",725.27,171.32
"Acalypha diversifolia",739.6,192
"Acalypha diversifolia",734.2,233.6
"Acalypha diversifolia",734,238.8
"Acalypha diversifolia",734.4,237.1
"Acalypha diversifolia",734.7,235.5
"Acalypha diversifolia",735.7,238.51
"Acalypha diversifolia",735.65,236.86
"Acalypha diversifolia",729.85,245.69
"Acalypha diversifolia",725.5,266.3
"Acalypha diversifolia",726.8,272
"Acalypha diversifolia",722.1,281.3
"Acalypha diversifolia",738.6,307.9
"Acalypha diversifolia",738.6,306
"Acalypha diversifolia",736.6,448.56
"Acalypha diversifolia",759.18,87.1
"Acalypha diversifolia",758.69,114.72
"Acalypha diversifolia",755.13,109.06
"Acalypha diversifolia",740.7,144.75
"Acalypha diversifolia",740.39,144.85
"Acalypha diversifolia",741.26,157.66
"Acalypha diversifolia",745.78,144.86
