"Latin","gx","gy"
"Fagus sylvatica",4390934.62,5661483.63
"Fagus sylvatica",4390934.88,5661484.77
"Fagus sylvatica",4390932.45,5661484.95
"Fagus sylvatica",4390934.92,5661485.53
"Fagus sylvatica",4390933.13,5661487.06
"Fagus sylvatica",4390930.95,5661486.86
"Fagus sylvatica",4390930,5661494.26
"Fagus sylvatica",4390938.31,5661496.43
"Fagus sylvatica",4390934.87,5661499.34
"Fagus sylvatica",4390943.12,5661497.91
"Fagus sylvatica",4390948.21,5661488.67
"Fagus sylvatica",4390946.64,5661489.16
"Fagus sylvatica",4390934.34,5661491.53
"Fagus sylvatica",4390945.65,5661486.13
"Fagus sylvatica",4390944.35,5661485.35
"Fagus sylvatica",4390944.8,5661485.08
"Fagus sylvatica",4390946.3,5661483.19
"Fagus sylvatica",4390949.23,5661474.16
"Fagus sylvatica",4390947.71,5661475.82
"Fagus sylvatica",4390947.46,5661468.75
"Fagus sylvatica",4390945.8,5661467.51
"Fagus sylvatica",4390943.61,5661466.65
"Fagus sylvatica",4390940.21,5661465.61
"Fagus sylvatica",4390939.83,5661465.37
"Fagus sylvatica",4390947.55,5661465.45
"Fagus sylvatica",4390946.1,5661465.4
"Fagus sylvatica",4390946.64,5661462.73
"Fagus sylvatica",4390943.86,5661461.84
"Fagus sylvatica",4390943.35,5661461.61
"Fagus sylvatica",4390944.47,5661458.38
"Fagus sylvatica",4390943.2,5661450.45
"Fagus sylvatica",4390948.6,5661460.34
"Fagus sylvatica",4390900.61,5661509.2
"Fagus sylvatica",4390903.94,5661505.07
"Fagus sylvatica",4390901.8,5661510.08
"Fraxinus excelsior",4390902.74,5661512.06
"Fagus sylvatica",4390903.31,5661512.86
"Fagus sylvatica",4390901.44,5661515.18
"Fagus sylvatica",4390901.63,5661530.12
"Fagus sylvatica",4390904.11,5661535.07
"Fagus sylvatica",4390901.19,5661542.46
"Fagus sylvatica",4390903.63,5661543.46
"Fagus sylvatica",4390901.1,5661544.28
"Fagus sylvatica",4390908.03,5661548.04
"Fagus sylvatica",4390908.84,5661546.8
"Fagus sylvatica",4390912.31,5661547.87
"Fagus sylvatica",4390912.56,5661544.3
"Fagus sylvatica",4390912.42,5661538.73
"Carpinus betulus",4390915.1,5661536.96
"Fagus sylvatica",4390907.74,5661534.41
"Fagus sylvatica",4390906.31,5661530.23
"Fagus sylvatica",4390904.74,5661528.35
"Fagus sylvatica",4390906.82,5661528.5
"Fagus sylvatica",4390915.01,5661530.58
"Fraxinus excelsior",4390914.24,5661527.35
"Fagus sylvatica",4390918.16,5661526.52
"Fagus sylvatica",4390913.43,5661527.18
"Fagus sylvatica",4390910.16,5661521.01
"Fagus sylvatica",4390910.15,5661512.49
"Fagus sylvatica",4390906.81,5661508.53
"Fagus sylvatica",4390907.35,5661506.39
"Fagus sylvatica",4390910.28,5661506.57
"Fagus sylvatica",4390911.32,5661503.31
"Fagus sylvatica",4390913.33,5661501.54
"Fagus sylvatica",4390914.32,5661503.92
"Fagus sylvatica",4390918.75,5661503.24
"Fagus sylvatica",4390915.19,5661510.56
"Fagus sylvatica",4390920.91,5661514.31
"Fagus sylvatica",4390919.73,5661517.77
"Fagus sylvatica",4390917.96,5661520.96
"Fagus sylvatica",4390916,5661521.23
"Fagus sylvatica",4390923.31,5661523.64
"Fagus sylvatica",4390924.83,5661529.1
"Fagus sylvatica",4390928.45,5661531.59
"Fagus sylvatica",4390925.66,5661533.33
"Fagus sylvatica",4390920.11,5661535.65
"Fagus sylvatica",4390917.55,5661539.5
"Fagus sylvatica",4390924.11,5661537.82
"Fagus sylvatica",4390924.18,5661541.16
"Fagus sylvatica",4390926.74,5661539.74
"Fagus sylvatica",4390927.46,5661539.3
"Fagus sylvatica",4390928.23,5661538.81
"Fagus sylvatica",4390926.42,5661500.6
"Fagus sylvatica",4390923.19,5661504.09
"Fraxinus excelsior",4390924.03,5661506.86
"Fagus sylvatica",4390923.23,5661511.63
"Fagus sylvatica",4390925.1,5661511.39
"Fagus sylvatica",4390927.46,5661513.1
"Fagus sylvatica",4390925.5,5661518.33
"Fagus sylvatica",4390929.11,5661520.89
"Fagus sylvatica",4390930.18,5661521.71
"Fagus sylvatica",4390930.81,5661522.39
"Fraxinus excelsior",4390940.88,5661525.22
"Fagus sylvatica",4390940.85,5661528.02
"Fagus sylvatica",4390942.22,5661529.84
"Fagus sylvatica",4390937.88,5661530.31
"Fagus sylvatica",4390934.88,5661530.9
"Fagus sylvatica",4390938.5,5661533.14
"Fagus sylvatica",4390938.94,5661536.29
"Fraxinus excelsior",4390939.48,5661537.1
"Fagus sylvatica",4390937.77,5661543.66
"Fagus sylvatica",4390938.01,5661536.78
"Fagus sylvatica",4390939.47,5661546.7
"Fagus sylvatica",4390927.39,5661548.26
"Fagus sylvatica",4390930.64,5661499.95
"Fagus sylvatica",4390930.64,5661500.64
"Fagus sylvatica",4390931.21,5661503.78
"Fagus sylvatica",4390934.66,5661503.04
"Fagus sylvatica",4390933.02,5661505.91
"Fraxinus excelsior",4390936.6,5661510.85
"Fagus sylvatica",4390935.66,5661511.08
"Fagus sylvatica",4390936.17,5661512.76
"Fagus sylvatica",4390935,5661512.99
"Fagus sylvatica",4390933.47,5661513.01
"Fagus sylvatica",4390935.19,5661514.35
"Fagus sylvatica",4390937.47,5661516.1
"Fagus sylvatica",4390939.6,5661518.74
"Fagus sylvatica",4390943.71,5661523.8
"Fagus sylvatica",4390942.82,5661537.77
"Fagus sylvatica",4390942.74,5661538.61
"Fagus sylvatica",4390943.25,5661543.32
"Fagus sylvatica",4390947.12,5661545.7
"Fagus sylvatica",4390949.37,5661544.42
"Fagus sylvatica",4390945.27,5661539.18
"Fagus sylvatica",4390946.39,5661534.95
"Fagus sylvatica",4390949.97,5661532.13
"Fagus sylvatica",4390946.18,5661527.17
"Fagus sylvatica",4390946.33,5661522.19
"Fagus sylvatica",4390949.72,5661534.04
"Fagus sylvatica",4390947.89,5661519.78
"Fagus sylvatica",4390950.31,5661517.88
"Acer pseudoplatanus",4390947.67,5661516.56
"Quercus sp.",4390942,5661512.51
"Fagus sylvatica",4390939.92,5661512.81
"Fagus sylvatica",4390939.62,5661512.41
"Fagus sylvatica",4390939.79,5661509.16
"Fagus sylvatica",4390938.06,5661507.76
"Fagus sylvatica",4390937.68,5661501.91
"Fagus sylvatica",4390940.44,5661500.1
"Fagus sylvatica",4390944.69,5661501.82
"Fagus sylvatica",4390947.49,5661500.43
"Fagus sylvatica",4390947.82,5661506.27
"Fagus sylvatica",4390945.89,5661508.7
"Fagus sylvatica",4390945.93,5661511.97
"Fagus sylvatica",4390949.74,5661511.56
"Fagus sylvatica",4390901.28,5661555.29
"Fagus sylvatica",4390900.11,5661557.32
"Fagus sylvatica",4390907.61,5661559.88
"Fagus sylvatica",4390907.93,5661559.79
"Fagus sylvatica",4390908.64,5661566.19
"Fagus sylvatica",4390906.1,5661566.16
